"subject"  "activity"  "mean"  "std dev"
1  "WALKING"  3743.07368421053  2422.57084406481
1  "WALKING_UPSTAIRS"  2675.2641509434  2300.72433536571
1  "WALKING_DOWNSTAIRS"  3785.44897959184  2832.05220836134
1  "SITTING"  3512.34042553192  1484.8191263965
1  "STANDING"  3861.43396226415  960.730641619939
1  "LAYING"  4438.86  1952.16909197781
2  "WALKING"  8785.30508474576  1055.49704346663
2  "WALKING_UPSTAIRS"  8452.52083333333  968.15263851917
2  "WALKING_DOWNSTAIRS"  8898  1080.11812961039
2  "SITTING"  8734.28260869565  497.138731500059
2  "STANDING"  8863.55555555555  533.572356030086
2  "LAYING"  9019.83333333333  680.59686988024
3  "WALKING"  3297.39655172414  2444.7346854195
3  "WALKING_UPSTAIRS"  3520.83050847458  2783.02137447367
3  "WALKING_DOWNSTAIRS"  4089.79591836735  2805.30006549798
3  "SITTING"  3456.40384615385  1720.74188582483
3  "STANDING"  3683.34426229508  1523.63363799882
3  "LAYING"  3347.22580645161  1521.93009920433
4  "WALKING"  8807.48333333333  852.375175844229
4  "WALKING_UPSTAIRS"  8707.48076923077  1084.42127857528
4  "WALKING_DOWNSTAIRS"  8815.6  1164.81550236312
4  "SITTING"  8818.06  544.362139741251
4  "STANDING"  8919.67857142857  640.757452541141
4  "LAYING"  9006.11111111111  659.946100333892
5  "WALKING"  3610.35714285714  2616.90361394441
5  "WALKING_UPSTAIRS"  3900.85106382979  2823.50719294996
5  "WALKING_DOWNSTAIRS"  4176.82978723404  2902.89182142902
5  "SITTING"  3619.5  1435.63028051291
5  "STANDING"  3872.14285714286  1434.55232711142
5  "LAYING"  3700.84615384615  1650.58549783742
6  "WALKING"  3864.0701754386  2700.27618203642
6  "WALKING_UPSTAIRS"  3205.47058823529  2761.99694679731
6  "WALKING_DOWNSTAIRS"  3965.10416666667  3208.60679144546
6  "SITTING"  3497.41818181818  1230.99239837153
6  "STANDING"  3524.0701754386  1294.31435047465
6  "LAYING"  3823.10526315789  2113.71092668296
7  "WALKING"  3601.36842105263  2639.06639763531
7  "WALKING_UPSTAIRS"  3461  2939.41722795523
7  "WALKING_DOWNSTAIRS"  3745.65957446808  2800.67306566146
7  "SITTING"  3884.58333333333  1328.55153622175
7  "STANDING"  3944.69811320755  1213.22262502848
7  "LAYING"  3508.36538461538  1919.20409390778
8  "WALKING"  3624.4375  2610.96832861525
8  "WALKING_UPSTAIRS"  3132.60975609756  3037.1967739846
8  "WALKING_DOWNSTAIRS"  3724.76315789474  2771.3084180212
8  "SITTING"  3380.63043478261  1536.2563350734
8  "STANDING"  3892.68518518519  1104.4843383854
8  "LAYING"  3619.40740740741  1962.71872011343
9  "WALKING"  8885.76923076923  894.963349351106
9  "WALKING_UPSTAIRS"  8497.65306122449  1010.41826221909
9  "WALKING_DOWNSTAIRS"  9081.64285714286  1223.56741162937
9  "SITTING"  8913.94  685.647300597273
9  "STANDING"  8968.33333333333  489.039410942048
9  "LAYING"  8896.92  918.718491671293
10  "WALKING"  8857.8679245283  1154.68002623664
10  "WALKING_UPSTAIRS"  8552.87234042553  1111.21742123753
10  "WALKING_DOWNSTAIRS"  8996.92105263158  1198.7007692245
10  "SITTING"  8814.90740740741  513.293629178676
10  "STANDING"  8883.27272727273  487.028023816994
10  "LAYING"  8811.75862068966  686.280677845464
11  "WALKING"  3179.89830508475  2465.89478545377
11  "WALKING_UPSTAIRS"  3491.55555555556  2618.41947622208
11  "WALKING_DOWNSTAIRS"  3960.45652173913  2977.40961020759
11  "SITTING"  3521.45283018868  1213.63178052231
11  "STANDING"  3721.59574468085  801.936830960559
11  "LAYING"  3773.87719298246  1291.56983758657
12  "WALKING"  8814.02  1151.91615854911
12  "WALKING_UPSTAIRS"  8785.92307692308  955.358547745887
12  "WALKING_DOWNSTAIRS"  8871.0652173913  1151.33708554057
12  "SITTING"  8843.50980392157  517.442532946375
12  "STANDING"  8844.27868852459  510.031898713128
12  "LAYING"  8789.68333333333  851.458479369602
13  "WALKING"  8804.63157894737  984.713058850484
13  "WALKING_UPSTAIRS"  8665.01818181818  1192.87679800508
13  "WALKING_DOWNSTAIRS"  9046.44680851064  1067.35760293537
13  "SITTING"  8851  475.752036254181
13  "STANDING"  8807.91228070175  413.876028742811
13  "LAYING"  8675.58064516129  626.146543062997
14  "WALKING"  3110.71186440678  2384.38670673836
14  "WALKING_UPSTAIRS"  3483.05555555556  2863.92686225173
14  "WALKING_DOWNSTAIRS"  4176.53333333333  2654.67505801301
14  "SITTING"  3871.85185185185  1377.88549250952
14  "STANDING"  3651.43333333333  1760.483758311
14  "LAYING"  4586.86274509804  2012.12878334969
15  "WALKING"  3583.18518518519  2678.22567337262
15  "WALKING_UPSTAIRS"  3378.89583333333  2955.88627483696
15  "WALKING_DOWNSTAIRS"  3547.28571428571  3101.52050268436
15  "SITTING"  3727.52542372881  1356.27961408548
15  "STANDING"  3715  1083.57747939229
15  "LAYING"  3616.91666666667  1867.99527060052
16  "WALKING"  3437.49019607843  2524.4222893371
16  "WALKING_UPSTAIRS"  3575.54901960784  2607.31485105827
16  "WALKING_DOWNSTAIRS"  4368.1914893617  3031.07478884606
16  "SITTING"  3752.20289855072  1233.44905686203
16  "STANDING"  3744.41025641026  1120.52680602042
16  "LAYING"  3686.68571428571  1766.81764634756
17  "WALKING"  3295.90163934426  2264.16869001199
17  "WALKING_UPSTAIRS"  3182.60416666667  2983.20565649076
17  "WALKING_DOWNSTAIRS"  4080.67391304348  2676.41484124107
17  "SITTING"  3613.1875  1171.29985960518
17  "STANDING"  3479.61538461538  1357.09108529465
17  "LAYING"  3468.15492957746  1864.93549216578
18  "WALKING"  8790.23214285714  1025.44580090047
18  "WALKING_UPSTAIRS"  8809.93103448276  1073.58721300705
18  "WALKING_DOWNSTAIRS"  9032.92727272727  927.98540965832
18  "SITTING"  8866.56140350877  361.127501106102
18  "STANDING"  8937.1095890411  351.142245695856
18  "LAYING"  8809.41538461538  575.609103806234
19  "WALKING"  3552.40384615385  2469.97425770197
19  "WALKING_UPSTAIRS"  3748.05  2515.31591480713
19  "WALKING_DOWNSTAIRS"  4225.94871794872  2976.84106632233
19  "SITTING"  3411.39726027397  1658.17762870138
19  "STANDING"  3731.47945205479  1149.31522014909
19  "LAYING"  3184.28915662651  1799.03408046815
20  "WALKING"  8723.11764705882  1012.90470720713
20  "WALKING_UPSTAIRS"  8692.47058823529  1163.1525154156
20  "WALKING_DOWNSTAIRS"  9025.2  1247.52126234385
20  "SITTING"  8766.01515151515  488.34201421117
20  "STANDING"  8873.78082191781  600.795358175203
20  "LAYING"  8439.5  698.035184931952
21  "WALKING"  3684.94230769231  2194.9423094251
21  "WALKING_UPSTAIRS"  3575.1914893617  2802.08721614487
21  "WALKING_DOWNSTAIRS"  3747.77777777778  3130.24089175323
21  "SITTING"  3765.36470588235  930.273293780085
21  "STANDING"  3695  1490.21980532464
21  "LAYING"  3438.92222222222  1961.73614478294
22  "WALKING"  3919.9347826087  2273.70568213775
22  "WALKING_UPSTAIRS"  3489.71428571429  2876.18292343502
22  "WALKING_DOWNSTAIRS"  3867.38888888889  3073.71193257346
22  "SITTING"  3891.5  1761.69109096913
22  "STANDING"  3840.49206349206  1168.80189376621
22  "LAYING"  3709.18055555556  2026.89364303605
23  "WALKING"  3239.98305084746  2542.29951904479
23  "WALKING_UPSTAIRS"  2992.03921568627  2693.76892818062
23  "WALKING_DOWNSTAIRS"  4086.59259259259  2750.55642067934
23  "SITTING"  3479.52941176471  1200.75772682295
23  "STANDING"  3650.76470588235  1503.10130260735
23  "LAYING"  3866.73611111111  1843.99196473346
24  "WALKING"  8814.8275862069  874.494563551879
24  "WALKING_UPSTAIRS"  8824.25423728814  1123.07947324065
24  "WALKING_DOWNSTAIRS"  9058.52727272727  1109.8465668822
24  "SITTING"  8735.02941176471  470.806769330487
24  "STANDING"  8951.24637681159  427.868121717741
24  "LAYING"  8848.73611111111  737.284320203859
25  "WALKING"  3938.95945945946  2040.18038041623
25  "WALKING_UPSTAIRS"  3804.72307692308  2670.37525749947
25  "WALKING_DOWNSTAIRS"  4270.70689655172  2778.10536857387
25  "SITTING"  3830.01538461538  1041.15663585486
25  "STANDING"  3800.72972972973  1004.7620627122
25  "LAYING"  4166.68493150685  2780.69765365093
26  "WALKING"  3535.76271186441  2656.36415593391
26  "WALKING_UPSTAIRS"  3192.32727272727  2431.14599600107
26  "WALKING_DOWNSTAIRS"  3435.6  2788.44690881238
26  "SITTING"  3990.74358974359  1486.1787174338
26  "STANDING"  3981.52702702703  898.846128251789
26  "LAYING"  3754.68421052632  1762.62058848391
27  "WALKING"  3456.84210526316  2526.47048970265
27  "WALKING_UPSTAIRS"  3046.78431372549  2436.45411459954
27  "WALKING_DOWNSTAIRS"  4283.38636363636  2828.94899718021
27  "SITTING"  3575.47142857143  1238.71273437479
27  "STANDING"  3770.5625  805.961959144852
27  "LAYING"  3157.52702702703  1327.75050494026
28  "WALKING"  3745.22222222222  2801.84676743324
28  "WALKING_UPSTAIRS"  3166.74509803922  2723.80427228637
28  "WALKING_DOWNSTAIRS"  4012.5  3036.79812192601
28  "SITTING"  3629.18055555556  1383.17257614198
28  "STANDING"  3744.25316455696  1266.87039658865
28  "LAYING"  3630.8  1847.30290841622
29  "WALKING"  3531.37735849057  2785.5563746585
29  "WALKING_UPSTAIRS"  3358.26530612245  2733.24952190238
29  "WALKING_DOWNSTAIRS"  4232.47916666667  3093.96303729577
29  "SITTING"  3706.21666666667  1061.86912423596
29  "STANDING"  3740.33846153846  672.778132004784
29  "LAYING"  3965.84057971014  1245.89756947479
30  "WALKING"  3397.43076923077  2362.92759337616
30  "WALKING_UPSTAIRS"  3617.33846153846  2768.78637829896
30  "WALKING_DOWNSTAIRS"  3996.1935483871  2756.81071279608
30  "SITTING"  4191.20967741936  1381.49543750214
30  "STANDING"  3640.72881355932  929.713282285949
30  "LAYING"  4106.25714285714  1572.26697483781
